mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
10,sf_bq043,TCGA,generic,select,all,all,all,all,"VERIFY: correct source tables are used when multiple similar datasets exist | PRINCIPLE: Using the wrong table (e.g., similarly named sources) can lead to mismatched, incomplete, or inaccurate results | WHEN_TO_APPLY: Whenever querying for data where more than one candidate source exists (e.g., multiple mutation or RNA expression tables) | EXAMPLE_USAGE: When building a query to retrieve mutation records, check table names precisely; if GOLD uses 'SOURCE_A', but your query uses 'SOURCE_B', your results may not match. Confirm with source documentation or previous GOLD queries."
11,sf_bq043,TCGA,generic,select,all,all,all,all,"ENSURE: output schema (number and names of SELECT columns) matches specification and expected results | PRINCIPLE: Output columns must exactly match expected structure for validation, including order and naming | WHEN_TO_APPLY: When finalizing SELECT clauses prior to result submission or validation | EXAMPLE_USAGE: Compare your SELECT column list against the GOLD/output specification. If the expected output is 'sample_id, gene_symbol, expression, vital_status', but you output only 'sample_id, gene_symbol', this is incorrect; always include all required fields as columns in both query and output."
12,sf_bq043,TCGA,generic,pivot;aggregation,all,all,all,all,"AVOID: using pivot operations when output requires long-form data | PRINCIPLE: Pivoting transforms rows into columns; some outputs require each observation (gene/sample/attribute) as a separate row | WHEN_TO_APPLY: When the question or GOLD output expects one record per key combination (e.g., per gene per sample) | EXAMPLE_USAGE: If you see the expected output has one row per gene/sample pair, using PIVOT or aggregation to combine genes as columns is incorrect; instead, SELECT each key/attribute as a column and output long-form data."
13,sf_bq043,TCGA,generic,join;select,all,all,all,all,"VERIFY: JOINs bring in all necessary attributes from related tables as explicit columns without aggregation | PRINCIPLE: Required attributes from joined tables should be selected directly; aggregating, pivoting, or omitting fields may result in lost data | WHEN_TO_APPLY: When joining reference/clinical/demographic tables for richer output | EXAMPLE_USAGE: When joining a demographics table, SELECT fields like 'gender', 'vital_status', 'days_to_death' as columns in the result set; do not GROUP BY or PIVOT these unless required."
14,sf_bq043,TCGA,generic,order by,all,all,all,all,"ORDER: output as specified in requirements to ensure predictable and valid row presentation | PRINCIPLE: ORDER BY ensures result set stability and matches expected output structure | WHEN_TO_APPLY: Whenever the requirements or GOLD output show ordered results | EXAMPLE_USAGE: If the specification says 'ORDER BY case_barcode, gene_symbol', always end your query with 'ORDER BY case_barcode, gene_symbol' to avoid row position mismatches during validation."
15,sf_bq043,TCGA,db,select;where;group by,SOMATIC_MUTATION_HG19_DCC_2017_02,all,all,all,"ENSURE: use SOMATIC_MUTATION_HG19_DCC_2017_02 as the source for mutation data, not SOMATIC_MUTATION_HG19_MC3_2017_02 | CONTEXT: The expected output is built using mutation records from SOMATIC_MUTATION_HG19_DCC_2017_02; selecting the wrong mutation source leads to missing or misaligned data | WHEN_TO_CHECK: When building mutation CTEs or querying for mutation data in this schema | EXAMPLE_USAGE: When composing a mutation CTE, confirm your FROM clause is 'FROM SOMATIC_MUTATION_HG19_DCC_2017_02' and not 'FROM SOMATIC_MUTATION_HG19_MC3_2017_02'; using the MC3 source will result in a mismatch compared to expected aggregate results."
16,sf_bq043,TCGA,db,select,RNASEQ_HG19_GDC_2017_02,all,all,all,"ENSURE: gene expression data from RNASEQ_HG19_GDC_2017_02 is selected in long-form without pivoting | CONTEXT: Long-format selects one row per gene/sample; pivoting flattens genes into columns and is incompatible with the expected output | WHEN_TO_CHECK: When selecting gene expression data for reporting on individual gene/sample combinations | EXAMPLE_USAGE: Use 'SELECT sample_barcode, aliquot_barcode, HGNC_gene_symbol, gene_id, normalized_count ... FROM RNASEQ_HG19_GDC_2017_02' to extract one row per gene per sample. Avoid using PIVOT or GROUP BY to combine genes into columns; output must remain long-form (one gene per row)."
17,sf_bq043,TCGA,db,inner join;select,clinical_info,all,all,all,"VERIFY: clinical info is joined in long form without pivoting fields | CONTEXT: Clinical fields (gender, vital status, days to death) need to be included per sample/gene without aggregating or spreading values | WHEN_TO_CHECK: When joining clinical_info table to expression/mutation data | EXAMPLE_USAGE: Structure JOIN so that for each sample/gene, clinical attributes (demo__gender, demo__vital_status, demo__days_to_death, project_short_name) appear as columns on each row. Do not aggregate or pivot clinical columns; use SELECT to list each field."
18,sf_bq043,TCGA,db,select,all,all,all,all,"ENSURE: SELECT statement includes sample_barcode, aliquot_barcode, HGNC_gene_symbol, gene_id, normalized_count, project_short_name, demo__gender, demo__vital_status, demo__days_to_death | CONTEXT: These columns are required for correct output schema | WHEN_TO_CHECK: When constructing the final SELECT clause for this question type | EXAMPLE_USAGE: Construct final output as 'SELECT sample_barcode, aliquot_barcode, HGNC_gene_symbol, gene_id, normalized_count, project_short_name, demo__gender, demo__vital_status, demo__days_to_death'. Omitting any required field results in a schema mismatch."
19,sf_bq043,TCGA,db,order by,all,all,all,all,"ORDER: results by case_barcode and HGNC_gene_symbol for consistent output | CONTEXT: Required ordering for deterministic row presentation in output | WHEN_TO_CHECK: When producing final result sets for reporting or submission | EXAMPLE_USAGE: Use 'ORDER BY case_barcode, HGNC_gene_symbol' as the last clause to ensure output rows match expected ordering; omitting ORDER BY may result in unpredictable row order and validation failures."
20,sf_bq050,NEW_YORK_CITIBIKE_1,generic,join;spatial join,all,all,all,all,"VERIFY: use appropriate spatial functions and data types (e.g., ST_POINT, ST_GEOGFROMWKB, ST_WITHIN) when joining location-based tables | PRINCIPLE: Geospatial joins require building points from latitude/longitude and using polygon geometry fields for spatial relationships; failing to do so can cause logical and inaccurate joins | WHEN_TO_APPLY: Any time linking point records (with lat/lon) to polygons (geometry) in SQL | EXAMPLE_USAGE: For a trips table with lat/lon and a zones table with geom, use 'ST_WITHIN(ST_POINT(trip_lat, trip_lon), zone.geom)' for correct spatial join. Incorrect: join using zone_id without spatial logic can misassign locations."
21,sf_bq050,NEW_YORK_CITIBIKE_1,generic,filter;where,all,all,all,all,"VERIFY: data source filtering must be applied when datasets contain multiple regions or variants (e.g., filter for NYC using 'stn' in weather data) | PRINCIPLE: Large reference tables may include data for many areas or entities; queries must restrict results to the relevant subset | WHEN_TO_APPLY: Anytime a table includes multiple possible locations/entities | EXAMPLE_USAGE: When querying weather, ensure 'WHERE stn = ""NYC_CODE""' or equivalent filter is present. If omitted, results may include other cities’ data, skewing analysis."
22,sf_bq050,NEW_YORK_CITIBIKE_1,generic,aggregation;group by;join,all,all,all,all,"ENSURE: multi-table aggregations and groupings incorporate all relevant join keys, especially after spatial and temporal joins | PRINCIPLE: Aggregating after multiple JOINs requires grouping on all contextually unique fields to avoid overcounting or blended data | WHEN_TO_APPLY: Whenever combining tables by geospatial and temporal context before aggregation | EXAMPLE_USAGE: After joining trips (with coordinates) to spatial polygons and to weather by date, group by neighborhood, borough, and month to ensure breakdown matches analytic expectations. Missing a grouping key (such as date or region) can collapse distinct entries."
23,sf_bq050,NEW_YORK_CITIBIKE_1,db,join;spatial join,NEW_YORK_CITIBIKE_1.NEW_YORK_CITIBIKE.CITIBIKE_TRIPS,NEW_YORK_CITIBIKE_1.NEW_YORK_CITIBIKE.CITIBIKE_TRIPS.start_station_longitude,numeric,all,"ENSURE: spatial joins from trips to NYC ZIP polygons use ST_POINT for trip lat/lon and ST_GEOGFROMWKB for zip_code_geom, with the join made via ST_WITHIN(ST_POINT(trip_lat, trip_lon), ST_GEOGFROMWKB(zip_code_geom)) | CONTEXT: The trips table contains latitude/longitude; NYC ZIP polygons use zip_code_geom (WKB). Correct spatial association is needed to link trips to physical neighborhoods | WHEN_TO_CHECK: When linking trips to neighborhoods or zip codes using location columns | EXAMPLE_USAGE: Validate that the JOIN condition uses ST_WITHIN(ST_POINT(trip_lat, trip_lon), ST_GEOGFROMWKB(zip_code_geom)). Incorrect: simply matching zip_code or ignoring geometry leads to misaligned location mapping."
24,sf_bq050,NEW_YORK_CITIBIKE_1,db,filter;where,NEW_YORK_CITIBIKE_1.NOAA_GSOD.GSOD2014,NEW_YORK_CITIBIKE_1.NOAA_GSOD.GSOD2014.stn,str,No,"ENSURE: weather data from GSOD2014 is filtered to use stn='141060' to select NYC-specific weather readings | CONTEXT: GSOD2014 contains weather data for multiple stations; '141060' is NYC's code, ensuring proper local weather context for trip analyses | WHEN_TO_CHECK: Whenever incorporating weather data into trip or location-based queries | EXAMPLE_USAGE: Check for WHERE weather.stn = '141060' or join conditions restricting to stn='141060'. If absent, the query may mix in irrelevant weather readings from other regions."
25,sf_bq050,NEW_YORK_CITIBIKE_1,db,join;where;date,NEW_YORK_CITIBIKE_1.NEW_YORK_CITIBIKE.CITIBIKE_TRIPS,all,date,all,"VERIFY: date-based joins between trips and weather use matching dates, aligning trip date to weather date (typically via a join on trip_date = weather.date) | CONTEXT: Correctly associating temporal context to each trip by synchronizing with the appropriate day's weather info | WHEN_TO_CHECK: When joining trips to weather data | EXAMPLE_USAGE: Confirm a JOIN or WHERE clause aligns trips.date = weather.date; missing this results in trip-weather mismatches."
26,sf_bq091,PATENTS,generic,flatten;group by;aggregation,all,all,all,all,"VERIFY: array or nested field flattening uses the correct, standardized version of a field for analysis | PRINCIPLE: Many schemas have both raw and harmonized/standardized fields for the same data entity (e.g., assignee vs assignee_harmonized); analytic operations should target the harmonized fields for consistency across records | WHEN_TO_APPLY: Whenever flattening or extracting array/nested data during group-by or aggregation queries | EXAMPLE_USAGE: When you see a table with both ""raw_entity"" and ""entity_harmonized"" columns (e.g., for assignee names), check that FLATTEN, JOIN, or GROUP BY clauses use ""entity_harmonized"". Using the raw field can lead to fragmented grouping and incorrect aggregates; e.g., 'FLATTEN(input => t.entity_harmonized)' is correct, while 'FLATTEN(input => t.raw_entity)' may cause duplicates or mismatches."
27,sf_bq091,PATENTS,db,flatten;aggregation;group by,a61_filings,a61_filings.assignee_harmonized,str,all,"ENSURE: when flattening assignee data in the a61_filings CTE, use ""assignee_harmonized"" instead of ""assignee"" to avoid grouping and matching issues | CONTEXT: The a61_filings CTE has both ""assignee"" and ""assignee_harmonized"" fields. ""assignee_harmonized"" is the curated version intended for analyses and aggregations; errors occur when flattening the unharmonized ""assignee"" | WHEN_TO_CHECK: When performing aggregations or groupings by assignee, or flattening assignee-related arrays in the a61_filings CTE | EXAMPLE_USAGE: In a query needing to group filings by assignee, verify the FLATTEN clause uses ""assignee_harmonized"" (e.g., 'LATERAL FLATTEN(input => a61_filings.assignee_harmonized)') — using 'assignee' instead will incorrectly split or duplicate entities, leading to wrong counts."
28,sf_bq091,PATENTS,db,all,all,all,all,all,"ENSURE: use LATERAL FLATTEN(input => ""assignee_harmonized"") to extract individual assignee names from the array | PRINCIPLE: The ""assignee_harmonized"" column contains an array of assignee objects, each with a ""name"" field; flattening guarantees all assignee entries are considered | WHEN_TO_APPLY: When extracting assignee names from ""assignee_harmonized"" in PATENTS tables | EXAMPLE_USAGE: Correct: 'SELECT a.value:""name""::STRING AS assignee_name FROM PATENTS.PATENTS.PUBLICATIONS, LATERAL FLATTEN(input => ""assignee_harmonized"") a'; Incorrect: Using 'assignee_harmonized[0]' or direct array indexing misses all but the first assignee."
29,sf_bq091,PATENTS,db,all,all,all,all,all,"AVOID: hard-coding assignee names in WHERE IN clauses when selecting top N assignees; use dynamic aggregation instead | PRINCIPLE: Top assignees should be determined by data-driven counts (ORDER BY COUNT(*) DESC LIMIT N), not static lists | WHEN_TO_APPLY: When identifying the most frequent assignees or top N entities in patent queries | EXAMPLE_USAGE: Correct: 'SELECT assignee_name, COUNT(*) as app_count FROM ... GROUP BY assignee_name ORDER BY app_count DESC LIMIT 3'; Incorrect: 'WHERE assignee_name IN (''LELY'', ''DEERE'', ...)' introduces bias and cannot adapt to data changes."
28,sf_bq121,STACKOVERFLOW,generic,aggregation;avg;sum;count;group by;where;cast;date;datediff,all,all,date,all,"VERIFY: Date-dependent calculations use the required fixed reference date, not dynamic system dates | PRINCIPLE: When queries require analysis relative to a historical or reporting cutoff date, using system functions like CURRENT_DATE() can produce changing results—fixed reference dates are necessary for reproducibility | WHEN_TO_APPLY: Whenever aggregating, bucketing, or calculating metrics based on elapsed time and a specific reporting period is required | EXAMPLE_USAGE: Instead of 'DATEDIFF(CURRENT_DATE(), event_date)', check for 'DATEDIFF(TO_DATE('YYYY-MM-DD'), event_date)' where 'YYYY-MM-DD' matches the reporting cutoff; this ensures results are not affected by when the query runs."
29,sf_bq121,STACKOVERFLOW,db,aggregation;avg;sum;count;group by;where;order by;limit;left join;cast;date;datediff,all,all,date,all,"ENSURE: membership_years calculation uses TO_DATE('2021-10-01') as the reference date instead of CURRENT_DATE() | CONTEXT: membership_years is computed as the integer difference between a user's join_date and a fixed cutoff date to produce accurate tenure data for this database | WHEN_TO_CHECK: When calculating user tenure for reporting or analysis tasks that are time-bounded, such as grouping users by membership duration | EXAMPLE_USAGE: In SELECT statements, verify membership_years is calculated as 'FLOOR(DATEDIFF(TO_DATE('2021-10-01'), join_date) / 365)' rather than 'FLOOR(DATEDIFF(CURRENT_DATE(), join_date) / 365)', to ensure consistent historical cutoffs matching GOLD."
30,sf_bq153,PANCANCER_ATLAS_1,generic,order by;case,all,all,all,all,"VERIFY: ORDER BY clauses produce exact output row order required by specifications or GOLD standards, using explicit CASE logic when needed | PRINCIPLE: Default column sorting may not align with required business or test result order; explicit CASE-based ordering ensures precise alignment | WHEN_TO_APPLY: Whenever row sequence is mandated to follow a non-standard or mapped order, not raw column values | EXAMPLE_USAGE: When result order matters (e.g., specific category sequence), check that 'ORDER BY CASE WHEN category = 'X' THEN 1 WHEN category = 'Y' THEN 2 ELSE N END' is used instead of 'ORDER BY category', preventing mismatched row order and ensuring test pass."
31,sf_bq153,PANCANCER_ATLAS_1,generic,order by;case,all,all,all,all,"VERIFY: Custom CASE statements are used in ORDER BY when result row order must match a specific pattern, not just column value sorting | PRINCIPLE: A CASE-based ORDER BY allows precise control over output ordering according to business or domain rules, avoiding surprises from default alphabetical, numerical, or chronological order | WHEN_TO_APPLY: Whenever the GOLD output specifies a particular order of rows based on values, rather than standard SQL sort | EXAMPLE_USAGE: If you need rows with value A, then B, then C (regardless of their sort order), use ORDER BY CASE WHEN col = 'A' THEN 1 WHEN col = 'B' THEN 2 WHEN col = 'C' THEN 3 ELSE 4 END. Using ORDER BY col may produce a different, undesirable sequence."
32,sf_bq153,PANCANCER_ATLAS_1,db,order by;case,CLINICAL_PANCAN_PATIENT_WITH_FOLLOWUP_FILTERED,CLINICAL_PANCAN_PATIENT_WITH_FOLLOWUP_FILTERED.icd_o_3_histology,str,all,"ENSURE: ORDER BY clauses use explicit CASE statements rather than relying on default column sorting for custom output order | CONTEXT: Queries involving the ""icd_o_3_histology"" column require explicit sequencing to match required row order; relying on natural column value order can misalign results with GOLD standards | WHEN_TO_CHECK: When output order must follow a custom logic, such as specific histology groupings or business requirements, not simple alphabetical/numeric column order | EXAMPLE_USAGE: When ordering by ""icd_o_3_histology"", verify you include: 'ORDER BY CASE WHEN ""icd_o_3_histology"" = 'A' THEN 1 WHEN ... ELSE N END' rather than just 'ORDER BY ""icd_o_3_histology""', ensuring the explicit ordering matches GOLD output expectations."
33,sf_bq153,PANCANCER_ATLAS_1,db,order by;case,PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.CLINICAL_PANCAN_PATIENT_WITH_FOLLOWUP_FILTERED,PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.CLINICAL_PANCAN_PATIENT_WITH_FOLLOWUP_FILTERED.icd_o_3_histology,str,all,"ENSURE: Use a CASE statement in the ORDER BY clause when a specific, non-alphabetical order of ""icd_o_3_histology"" values is required to match GOLD outputs | CONTEXT: ""icd_o_3_histology"" column is present in the histology dataset, and a CASE-based ORDER BY arranges rows in a custom priority that differs from simple alphanumeric sorting | WHEN_TO_CHECK: When presenting or comparing results where ""icd_o_3_histology"" rows need to appear in a designated order (not relying on default sort) | EXAMPLE_USAGE: If GOLD expects '9450/3' before '9401/3', use ORDER BY CASE ""icd_o_3_histology"" WHEN '9450/3' THEN 1 WHEN '9401/3' THEN 2 ELSE N END, rather than ORDER BY ""icd_o_3_histology"", or rows will appear in the wrong sequence."
34,sf_bq155,TCGA_HG38_DATA_V0,generic,aggregation;avg;log,all,all,all,all,"VERIFY: Mathematical transformations are applied at the correct step in aggregation | PRINCIPLE: For operations like log, square root, or normalization, apply the transformation to each row before aggregating to prevent incorrect results caused by transforming aggregated data | WHEN_TO_APPLY: Whenever a transformation must be applied to per-row data but aggregation (e.g., AVG, SUM) is needed afterwards | EXAMPLE_USAGE: To compute a mean of log-transformed values, use 'AVG(LOG(value))' for per-row transformation, not 'LOG(AVG(value))' which transforms post-aggregation and distorts the expected calculation."
35,sf_bq155,TCGA_HG38_DATA_V0,db,aggregation;avg;log;cast,TCGA_HG38_DATA_V0.TCGA_HG38_DATA_V0.RNASEQ_GENE_EXPRESSION,RNASEQ_GENE_EXPRESSION.HTSeq__Counts,numeric,all,"ENSURE: When computing SNORA31 log-transformed expression values, apply LOG(10, CAST(""HTSeq__Counts"" AS FLOAT) + 1) per row before averaging | CONTEXT: ""HTSeq__Counts"" column from relevant table must use log10(count+1) transformation per sample, then average the result to produce SNORA31 expression | WHEN_TO_CHECK: When calculating SNORA31 expression averages for comparative or statistical analysis | EXAMPLE_USAGE: When computing mean SNORA31 expression, use 'AVG(LOG(10, CAST(r.""HTSeq__Counts"" AS FLOAT) + 1))' instead of 'LOG(10, AVG(CAST(r.""HTSeq__Counts"" AS FLOAT)) + 1)' to ensure log transformation is done per sample before aggregation."
36,sf_bq159,PANCANCER_ATLAS_1,generic,cross join;group by;having;aggregation;where,all,all,all,No,"ENSURE: when building contingency grids or cross-joins for statistical analysis, first filter valid row/column sets per marginal threshold, and base all subsequent calculations (tables, marginals, expected values) ONLY on filtered grid cells | PRINCIPLE: Proper statistical analysis requires calculations (counts, expected values) using only eligible data meeting validity criteria; using unfiltered or global counts causes mismatches and incorrect results | WHEN_TO_APPLY: Whenever constructing cross-tabulations, contingency tables, or performing grouped calculations with data filtering | EXAMPLE_USAGE: After applying ""HAVING COUNT(*) > X"" on both row and column groupings, create a cross-join or grid only of the row/column pairs represented by those filtered sets, then proceed with ""SELECT ... FROM filtered_cross_grid ..."", ensuring subsequent aggregations only reference counts/marginals from these included cells, not the entire dataset."
37,sf_bq159,PANCANCER_ATLAS_1,generic,group by;aggregation;where,all,all,all,No,"VERIFY: variable naming and value mapping in output and calculations match the expected standards used in reference/gold code; misaligned names (e.g., 'mutated' instead of 'YES') can cause grouping mismatches and comparison errors | PRINCIPLE: Consistent variable naming and value mapping are critical for correct grouping, joining, and aggregation; mismatches can lead to incorrect counts or output misalignment | WHEN_TO_APPLY: When designing queries that need to align to a reference standard or produce output for comparison/testing | EXAMPLE_USAGE: When grouping or aggregating by categorical variables, check mapping (""mutation_status"" as 'YES'/'NO') matches gold code—e.g., ""CASE WHEN status = 'mutated' THEN 'YES' ELSE 'NO' END AS mutation_status""—and avoid using alternate names unless explicitly required."
38,sf_bq159,PANCANCER_ATLAS_1,db,where;group by;aggregation,all,mutation_status,str,No,"ENSURE: when computing contingency tables for mutation status analysis, use 'YES'/'NO' mutation status naming for compatibility with expected logic and results | CONTEXT: The mutation status field should be labeled 'YES' or 'NO' rather than 'mutated'/'wildtype' to match gold standard expectations and avoid mismatches in grouping/aggregation | WHEN_TO_CHECK: When constructing or grouping data by mutation status for statistical calculations or table outputs | EXAMPLE_USAGE: When filtering or aggregating rows, verify you use ""WHERE mutation_status IN ('YES','NO')"" and not ""IN ('mutated','wildtype')"" to ensure correct subset and result alignment."
39,sf_bq159,PANCANCER_ATLAS_1,db,group by;having;aggregation;where,all,all,all,No,"VERIFY: contingency cell, row, and column marginals are calculated only for rows and columns with more than 10 cases included, based on filtered contingency cells | CONTEXT: Statistical tests (like chi-square) require sufficient marginal counts (>10) for validity, so row/column sets must be restricted to groups meeting this threshold per Gold standards | WHEN_TO_CHECK: When creating contingency or cross-tabulation grids for statistical analysis | EXAMPLE_USAGE: When generating contingency tables, filter initial groups with ""HAVING COUNT(*) > 10"" and apply this filter not just to rows/columns individually, but to the set of contingency cells actually present in the filtered data (e.g., SELECT row_var, col_var FROM ... GROUP BY ... HAVING COUNT(*) > 10)."
40,sf_bq159,PANCANCER_ATLAS_1,db,aggregation;group by;where,all,all,all,No,"ENSURE: expected values for chi-square or similar tests are computed using only the filtered marginals for included contingency cells, not total global patient counts | CONTEXT: Valid expected cell computation requires marginals derived from the subset passing marginal thresholds (>10 per group), not the full dataset; otherwise, expected counts and test statistics are incorrect | WHEN_TO_CHECK: When performing chi-square or similar calculations on contingency tables | EXAMPLE_USAGE: After filtering in eligible rows/columns, compute expected cell as: ""expected_ij = row_i_count * col_j_count / total_filtered_n"" (where counts are from filtered groups), not ""expected_ij = row_i_full * col_j_full / total_n"" (which would include excluded patients)."
41,sf_bq166,TCGA_MITELMAN,generic,left join;join;inner join,all,all,all,all,"VERIFY: LEFT JOIN is used when it is necessary to retain all records from the left table, even if no match exists in the right table | PRINCIPLE: LEFT JOIN retains unmatched rows from the left side, whereas INNER JOIN removes them, which may exclude relevant data | WHEN_TO_APPLY: Whenever combining datasets and want to preserve all entries from one side regardless of matches in the other | EXAMPLE_USAGE: If querying across a mapping table and a reference dimension (e.g., mapping segments to regions), use 'LEFT JOIN' when some segments may not match any region and you want to keep those; 'INNER JOIN' would drop those unmatched segments, leading to incomplete results."
42,sf_bq166,TCGA_MITELMAN,generic,aggregation;group by,all,all,all,all,"ENSURE: Aggregation GROUP BY clauses include all columns that identify the grouping scope needed for the analysis | PRINCIPLE: Omitting necessary fields in GROUP BY can lead to incorrect aggregations and duplicate/missing counts | WHEN_TO_APPLY: When summarizing or counting data across multiple fields, especially in frequency tables or statistics per distinct entity | EXAMPLE_USAGE: If aggregating max or count per entity in a complex report, verify 'GROUP BY' includes every identifying column—such as (field1, field2, field3). If only 'GROUP BY field1', values for field2/3 may be combined erroneously, distorting the analysis."
43,sf_bq166,TCGA_MITELMAN,generic,cte_definition;filter;join;group by;aggregation,all,all,all,all,"CHECK: All CTEs required for the logic are present and used with correct join/filter conditions | PRINCIPLE: Necessary CTEs encapsulate intermediate computations and enable correct aggregation or filtering for final results | WHEN_TO_APPLY: When analysis relies on several layered transformations (e.g., filtering by subset, joining detailed entities, calculating group statistics) | EXAMPLE_USAGE: If GOLD SQL includes CTEs like cytob or joined, ensure that these are included and referenced with appropriate join conditions and filters; omitting or misnaming CTEs leads to logic gaps and mismatched results."
