mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
23,local010,Airlines,db,aggregation;group by;where;join;avg;count;order by;limit,flights,"flights.dep_city_en, flights.arr_city_en",str,all,"ENSURE: treat each (dep_city_en, arr_city_en) pair in the flights table as a unique, directional city pair, rather than collapsing or reordering them as undirected pairs | CONTEXT: flights table has dep_city_en (departure city) and arr_city_en (arrival city); counting or binning city pairs lexicographically groups both directions together, but each direction should be counted separately in directional route analysis | WHEN_TO_CHECK: When grouping or aggregating flights data by city pairs using dep_city_en and arr_city_en | EXAMPLE_USAGE: When counting unique city pairs, use GROUP BY dep_city_en, arr_city_en to treat ""CityA → CityB"" as distinct from ""CityB → CityA"". An incorrect approach would be to group by the lexicographically sorted pair (e.g., LEAST/ GREATEST functions), which merges both directions and understates the number of directional routes."
24,local010,Airlines,generic,aggregation;group by;where;count,all,all,all,all,"VERIFY: directionality of entity-pairs is explicitly respected in queries when measuring routes, flows, or connections | PRINCIPLE: Entity-pairs (e.g., (A, B)) can be directional (A→B is distinct from B→A) or undirectional (A↔B); applying undirected logic to directional data aggregates opposing relationships incorrectly | WHEN_TO_APPLY: Whenever grouping, counting, or binning data by two attributes representing source and target (e.g., origin/destination, sender/receiver, from/to), check whether directional integrity is required | EXAMPLE_USAGE: If the analytic goal is to count all direct flights from one city to another, use GROUP BY source, target without reordering them. If you instead GROUP BY sorted pairs (e.g., GROUP BY LEAST(source, target), GREATEST(source, target)), you will conflate the counts for both directions, masking asymmetries in the data."
25,local015,California_Traffic_Collision,db,case;filter;aggregation;group by;like,parties,parties.party_safety_equipment_1,str,all,"ENSURE: helmet_status categorization includes an explicit group for 'helmet_not_used' when processing the primary helmet use column from accident records | CONTEXT: The accidents table (or relevant incident data table) contains a helmet use field with several categories; omitting an explicit 'helmet_not_used' mapping leads to misgrouped or missing statistics | WHEN_TO_CHECK: Whenever calculating or grouping by helmet use status (such as aggregating deaths or injuries by helmet type) using the helmet use column in the accidents or related table | EXAMPLE_USAGE: When constructing a CASE statement to group helmet use in the accidents table, ensure a line like ""WHEN helmet_use = 'helmet_not_used' THEN 'helmet_not_used'"" is present. Missing this explicit mapping can conflate non-use cases with 'unknown' or 'other', leading to inaccurate reporting of helmet-related injury or fatality ratios."
26,local015,California_Traffic_Collision,generic,case;group by;aggregation,all,all,all,all,"ENSURE: All possible categorical values present in source data are explicitly handled in CASE or grouping logic | PRINCIPLE: When categorizing records by a field with multiple known explicit values (e.g., usage flags, device types), ensure every value has a direct mapping in CASE/WHEN statements to avoid grouping omissions or misclassification | WHEN_TO_APPLY: Whenever writing CASE statements or aggregating by categorical fields with discrete, enumerated values | EXAMPLE_USAGE: If a column contains {'A', 'B', 'C', 'D'}, do not write CASE WHEN col='A' THEN... WHEN col='B' THEN... ELSE 'Other' END, as this groups 'C' and 'D' together. Instead, provide an explicit WHEN for every known value: CASE WHEN col='A' THEN 'A' WHEN col='B' THEN 'B' WHEN col='C' THEN 'C' WHEN col='D' THEN 'D' END. This avoids accidental under-counts or group merging for important discrete categories."
27,local020,cricket,db,select;join;group by;sum;union all;where;filter;division,ball_by_ball;batsman_scored;extra_runs;wicket_taken;player,match_id;over_id;ball_id;innings_no;runs_scored;extra_type;player_out,id;numeric,all,"ENSURE: When aggregating bowling statistics from ball_by_ball, join to batsman_scored AND extra_runs on ALL FOUR composite keys (match_id, over_id, ball_id, innings_no) to prevent run misattribution | CONTEXT: The cricket schema identifies each delivery by all four dimensions; joining on fewer keys creates unintended cross-over or cross-match row multiplication, inflating runs-conceded totals | WHEN_TO_CHECK: When computing total runs conceded per bowler by UNION ALL of batting runs and extras (wides, no-balls only—exclude byes/leg-byes which are not charged to the bowler), then aggregating by bowler | EXAMPLE_USAGE: 'JOIN batsman_scored bs ON bb.match_id=bs.match_id AND bb.over_id=bs.over_id AND bb.ball_id=bs.ball_id AND bb.innings_no=bs.innings_no'. Also filter extra_runs WHERE extra_type IN (''wides'',''noballs''). Always include WHERE total_wickets_taken > 0 before computing bowling_average = runs/wickets to avoid division by zero."
28,local020,cricket,generic,select;join;group by,all,all,id,all,"VERIFY: When joining tables whose primary key is composite (3 or more columns), include ALL key components in the JOIN condition—never only a subset | PRINCIPLE: Joining on a partial composite key creates a many-to-many cross-product between matching rows, silently multiplying row counts and inflating any SUM or COUNT aggregate with no error message | WHEN_TO_APPLY: Whenever the joined tables share a composite primary key of 3 or more columns | EXAMPLE_USAGE: For key (match_id, over_id, ball_id, innings_no), the JOIN must use all four columns: 'A.match_id=B.match_id AND A.over_id=B.over_id AND A.ball_id=B.ball_id AND A.innings_no=B.innings_no'. Omitting ball_id or innings_no joins entire overs or innings together, multiplying rows by the number of deliveries in that over/innings—a silent correctness bug."
29,local021,IPL,db,group by;aggregation;sum,batsman_scored,batsman_scored.striker,int,all,"ENSURE: When calculating strikers' total run aggregates, GROUP BY striker alone unless analysis must be per-match | CONTEXT: In the context of the batsman_scored table (containing columns like striker, match_id, runs_scored), grouping by both striker and match_id produces per-match results, not aggregates across all matches for each striker | WHEN_TO_CHECK: When summarizing total or average runs for each striker using the batsman_scored table | EXAMPLE_USAGE: For career-level analysis, use 'SELECT striker, SUM(runs_scored) FROM batsman_scored GROUP BY striker'; including match_id as in 'GROUP BY striker, match_id' would instead yield match-level results and fragment the aggregate."
30,local021,IPL,db,filter;aggregation;group by;having;subquery;sum,batsman_scored,batsman_scored.striker,int,all,"ENSURE: To filter for strikers who scored over 50 in any match, use a WHERE IN (subquery) with a per-match aggregation from batsman_scored | CONTEXT: batsman_scored provides runs_scored per striker per match; identifying strikers with match scores over 50 requires first computing total runs per striker per match (GROUP BY striker, match_id), then filtering strikers accordingly | WHEN_TO_CHECK: When restricting analysis to players with high individual match performances based on batsman_scored data | EXAMPLE_USAGE: Correct: 'WHERE striker IN (SELECT striker FROM batsman_scored GROUP BY striker, match_id HAVING SUM(runs_scored) > 50)'. Incorrect: Filtering on SUM(runs_scored) > 50 in the outer/main aggregation without reference to match granularity will not identify strikers by single-match feats."
31,local021,IPL,generic,group by;aggregation;avg;sum,all,all,all,all,"VERIFY: The aggregation grain in GROUP BY matches the metric being calculated | PRINCIPLE: Aggregating with too many (or too few) columns in GROUP BY changes the meaning of aggregates and may yield averages or sums at the wrong level | WHEN_TO_APPLY: When using GROUP BY and calculating summaries like AVG(), SUM(), or COUNT() in any query | EXAMPLE_USAGE: If the goal is average total runs per player, 'GROUP BY player_id' is correct; 'GROUP BY player_id, match_id' gives per-match numbers and averaging those leads to a different, usually undesired, result."
32,local021,IPL,generic,filter;subquery;aggregation;group by;having;sum,all,all,all,all,"CHECK: Qualification filters based on per-group performance require subqueries with matching grouping logic | PRINCIPLE: To filter records based on whether an entity meets a per-group criterion (e.g., player has >50 in any event), a subquery that aggregates at that group level is needed | WHEN_TO_APPLY: Whenever a filter is required for entities with at least one instance meeting a group-based threshold | EXAMPLE_USAGE: For ""students who scored above 90 in any class"", use a subquery: 'WHERE student_id IN (SELECT student_id FROM grades GROUP BY student_id, class_id HAVING SUM(score) > 90)'; filtering with 'HAVING SUM(score) > 90' in a semester-level group would be incorrect."
33,local024,IPL,db,sum;count distinct;group by;aggregation,player_in_match,player_in_match.player_id,int,all,"ENSURE: When calculating per-player averages from the player_in_match table, use SUM(runs_scored) divided by COUNT(DISTINCT match_id) rather than AVG(match_runs) to get the correct average runs per match for each player | CONTEXT: player_in_match contains player_id, match_id, and runs_scored; simply averaging match_runs can misrepresent performance if a player appears multiple times in a match | WHEN_TO_CHECK: When aggregating player performance using player_in_match for per-match calculations | EXAMPLE_USAGE: Correct: 'SELECT player_id, SUM(runs_scored) / COUNT(DISTINCT match_id) AS avg_runs_per_match FROM player_in_match GROUP BY player_id'; Incorrect: 'SELECT player_id, AVG(runs_scored) AS avg_runs_per_match FROM player_in_match GROUP BY player_id' (misleads if player has multiple rows per match)"
34,local024,IPL,db,round;avg;aggregation;group by;order by;limit;desc;asc,country_averages,country_averages.country_batting_avg,numeric,all,"ENSURE: When aggregating to the country level, round average results such as country_batting_avg to a consistent number of decimal places, e.g., 6, for output consistency | CONTEXT: Final SELECT applies ROUND(AVG(...), 6) to the per-country values | WHEN_TO_CHECK: When generating leaderboard or summary tables for country performance metrics | EXAMPLE_USAGE: Correct: 'SELECT country_name, ROUND(AVG(player_avg), 6) FROM ...'; Incorrect: 'SELECT country_name, AVG(player_avg) FROM ...' (output may have inconsistently formatted decimals)"
35,local024,IPL,generic,sum;count distinct;avg;aggregation;group by,all,all,all,all,"VERIFY: When calculating individual-level averages across groups (such as per-player averages), do not use AVG on a raw column if there can be multiple rows per entity per grouping—aggregate at the correct grain first, then average | PRINCIPLE: Aggregating a lower-level metric (e.g., runs per row) without first rolling up to the desired grouping (e.g., runs per match) can produce incorrect, underestimated averages if multiple rows exist per group | WHEN_TO_APPLY: Whenever an entity (player, team, etc.) can have multiple rows per higher-level group (match, game) and you want per-group averages | EXAMPLE_USAGE: Correct: Compute per-player, per-match sums first, then calculate per-player averages over matches: 'SELECT player_id, SUM(runs) / COUNT(DISTINCT match_id)'; Incorrect: 'SELECT player_id, AVG(runs) FROM ...' (if multiple rows per match, this underestimates true average per match)"
36,local024,IPL,generic,round,all,all,all,all,"ENSURE: ROUND aggregate outputs to the expected decimal precision for consistency with required output formats | PRINCIPLE: Output requirements may dictate fixed decimal places even if aggregates produce floating point values | WHEN_TO_APPLY: When output is expected to be formatted to a specific decimal precision | EXAMPLE_USAGE: Correct: 'SELECT ROUND(AVG(value), 6) ...'; Incorrect: 'SELECT AVG(value) ...' (may display extra decimals or floating point noise)"
37,local037,Brazilian_E_Commerce,db,join;group by;aggregation;distinct;count;where;order by;limit;row_number;partition by;over;cte_definition,olist_order_items,olist_order_items.order_id,int,all,"ENSURE: deduplicate on order_id, product_category_name, and payment_type before aggregating payment counts from payment, product, and order_items tables | CONTEXT: Each order can contain multiple products and payment types, so joining payment, product, and order_items without deduplication can lead to multiple rows per (order_id, product_category_name, payment_type), causing overcounting | WHEN_TO_CHECK: When calculating counts or aggregations involving payment, product, and order_items tables, especially on payment_type or product_category_name | EXAMPLE_USAGE: Incorrect: Selecting and counting payments per product category and payment_type directly after joining payment, product, and order_items tables can result in duplicated counts due to the 1-to-many relationships. Correct: First, select DISTINCT order_id, product_category_name, and payment_type from the joined tables, then aggregate on this deduped set to get accurate counts per category and payment_type."
38,local037,Brazilian_E_Commerce,db,join;group by;aggregation;distinct;count;where;order by;limit;row_number;partition by;over;cte_definition,olist_products,olist_products.product_category_name,str,all,"ENSURE: deduplicate on order_id, product_category_name, and payment_type before aggregating payment counts from payment, product, and order_items tables | CONTEXT: Each order can contain multiple products and payment types, so joining payment, product, and order_items without deduplication can lead to multiple rows per (order_id, product_category_name, payment_type), causing overcounting | WHEN_TO_CHECK: When calculating counts or aggregations involving payment, product, and order_items tables, especially on payment_type or product_category_name | EXAMPLE_USAGE: Incorrect: Selecting and counting payments per product category and payment_type directly after joining payment, product, and order_items tables can result in duplicated counts due to the 1-to-many relationships. Correct: First, select DISTINCT order_id, product_category_name, and payment_type from the joined tables, then aggregate on this deduped set to get accurate counts per category and payment_type."
39,local037,Brazilian_E_Commerce,db,join;group by;aggregation;distinct;count;where;order by;limit;row_number;partition by;over;cte_definition,olist_order_payments,olist_order_payments.payment_type,str,all,"ENSURE: deduplicate on order_id, product_category_name, and payment_type before aggregating payment counts from payment, product, and order_items tables | CONTEXT: Each order can contain multiple products and payment types, so joining payment, product, and order_items without deduplication can lead to multiple rows per (order_id, product_category_name, payment_type), causing overcounting | WHEN_TO_CHECK: When calculating counts or aggregations involving payment, product, and order_items tables, especially on payment_type or product_category_name | EXAMPLE_USAGE: Incorrect: Selecting and counting payments per product category and payment_type directly after joining payment, product, and order_items tables can result in duplicated counts due to the 1-to-many relationships. Correct: First, select DISTINCT order_id, product_category_name, and payment_type from the joined tables, then aggregate on this deduped set to get accurate counts per category and payment_type."
40,local037,Brazilian_E_Commerce,generic,join;group by;aggregation;distinct;count;cte_definition,all,all,all,all,"VERIFY: deduplication on key columns is applied before aggregation when joining several tables with potential 1-to-many relationships | PRINCIPLE: When aggregating over joined tables that can produce multiple logically identical records due to join fanout, it's necessary to use DISTINCT on the grouping keys before final aggregation | WHEN_TO_APPLY: Whenever a join multiplies rows per grouping key, especially across bridge tables or with non-unique relationships, prior to GROUP BY or aggregation | EXAMPLE_USAGE: When counting unique actions (e.g., user_id and action_type) from tables linked via joins that can multiply rows, first select DISTINCT user_id, action_type from the join result, then aggregate. Incorrect: COUNT(*) directly from the join. Correct: Use a subquery or CTE to deduplicate, then count."
41,local039,SQLITE_SAKILA,db,select;join;group by;sum;cast;filter;where;limit;like,category;rental;city;film;inventory;customer;address,category_id;film_id;inventory_id;rental_id;customer_id;address_id;city_id;return_date;rental_date,id;date,all,"ENSURE: When querying rental duration aggregated by film category and filtered by city name patterns, define all intermediate CTEs (eligible_cities, rental_hours, film_category_map) fully in the WITH clause before referencing them in the final SELECT | CONTEXT: The SAKILA schema requires traversing category → film_category → film → inventory → rental → customer → address → city to link film categories to cities; omitting any intermediate CTE definition causes 'no such table' errors at runtime | WHEN_TO_CHECK: When building queries that join category to city or aggregate rental hours by category with city name filters | EXAMPLE_USAGE: Define CTEs in order—eligible_cities (WHERE LOWER(city) LIKE 'a%' OR city LIKE '%-%'), rental_hours (CAST((JULIANDAY(return_date)-JULIANDAY(rental_date))*24 AS INTEGER)), film_category_map (joining film_category to film to inventory to rental)—then reference all three in the final SELECT. Missing any CTE from the WITH clause causes a runtime error even if the logic is otherwise correct."
42,local039,SQLITE_SAKILA,generic,select;cte;with,all,all,all,all,"VERIFY: Every CTE name referenced in the main SELECT or in downstream CTEs is fully defined as a named block in the WITH clause before it is used | PRINCIPLE: SQL engines process CTEs in definition order; referencing a CTE that is not yet defined—or whose definition was accidentally omitted—causes a 'no such table' runtime error with no warning at parse time | WHEN_TO_APPLY: Whenever a query uses a WITH clause with multiple interdependent CTEs | EXAMPLE_USAGE: If the final SELECT references eligible_cities, rental_hours, and category_hours, all three must appear as named CTE blocks. A WITH clause that defines only one of them will silently fail on the others. Always trace each referenced name back to its definition block before running."
43,local040,modern_data,db,aggregation;group by,tree_income,tree_income.boroname,str,all,"ENSURE: Aggregate mean income at the boroname (borough) level, not the (boroname, zipcode) level, unless explicitly asked for zipcode-level results | CONTEXT: The tree_income table contains both boroname and zipcode fields; aggregating by both yields per-zipcode statistics instead of borough-level summaries | WHEN_TO_CHECK: Whenever calculating borough-level statistics from tree_income | EXAMPLE_USAGE: For mean income per borough, use 'GROUP BY boroname'. Incorrect: 'GROUP BY boroname, zipcode'—this splits groups by both, returning multiple rows per borough instead of one."
44,local040,modern_data,db,where;filter;aggregation;group by,tree_income,tree_income.boroname,str,Yes,"REMEMBER: Apply filters to exclude NULL or empty boroname entries when aggregating borough statistics from tree_income | CONTEXT: Some records in tree_income may have boroname as NULL or empty string, which skews grouping and summary stats | WHEN_TO_CHECK: When summarizing or aggregating by boroname from tree_income | EXAMPLE_USAGE: Correct: include 'WHERE boroname IS NOT NULL AND boroname != ''' when grouping by boroname. Incorrect: omitting this filter leads to extra, incorrect groups with missing borough information."
45,local040,modern_data,generic,aggregation;group by,all,all,all,all,"ENSURE: The aggregation grain in GROUP BY aligns precisely with the desired output level | PRINCIPLE: Output row count and aggregation are determined by the columns in GROUP BY. Including unintended columns subdivides results, causing wrong granularity and extra rows | WHEN_TO_APPLY: Whenever aggregating data for grouped output, double-check GROUP BY only covers necessary dimensions | EXAMPLE_USAGE: For summary stats per region, 'GROUP BY region' is correct; adding 'GROUP BY region, subregion' splits groups further and returns one row per subregion, inflating row count if only region-level output is desired."
46,local040,modern_data,generic,where;filter;group by;aggregation,all,all,all,Yes,"VERIFY: Filters on grouping columns (e.g., excluding NULLs or blanks) are present to prevent misleading aggregation | PRINCIPLE: Unfiltered NULLs or blanks in grouping columns create extra, unwanted output groups and can distort summary statistics | WHEN_TO_APPLY: When any GROUP BY column could have NULL or empty values | EXAMPLE_USAGE: On grouping by location, always apply 'WHERE location IS NOT NULL AND location != ''' to avoid extra empty or null-named groups; missing this step causes incorrect total and extra rows in the result."
